Observation,Clan,Animal.ID,Rank,Park,DateTime,TotalCarnivores,Speed,OverlapOffset
1,SerenaNorth,PEEP,High,TM,9/7/2012 00:00,0,2.090343909,1.496317212
2,SerenaNorth,EMA,Low,TM,9/7/2012 00:00,0,-0.067544852,-0.614040348
3,SerenaNorth,ZOEY,High,TM,9/7/2012 00:00,0,0.368880764,0.843926593
4,SerenaNorth,TNSL,Low,TM,9/7/2012 00:00,0,-0.587049836,0.843926593
5,SerenaNorth,ZOEY,High,TM,9/7/2012 01:00,0,-0.278629165,0.275562781
6,SerenaNorth,HNDY,Low,TM,9/7/2012 01:00,0,-0.28911453,0.885330537
7,SerenaNorth,TNSL,Low,TM,9/7/2012 01:00,0,-0.451165786,0.885330537
8,SerenaNorth,EMA,Low,TM,9/7/2012 01:00,0,-0.507782177,-1.20476824
9,SerenaNorth,ZOEY,High,TM,9/7/2012 02:00,0,-0.765467587,-1.222720449
10,SerenaNorth,TNSL,Low,TM,9/7/2012 02:00,0,1.790543153,-0.901566247
11,SerenaNorth,EMA,Low,TM,9/7/2012 02:00,0,1.042091495,-0.901566247
12,SerenaNorth,PEEP,High,TM,9/7/2012 02:00,0,-0.09582758,-0.311483126
13,SerenaNorth,ZOEY,High,TM,9/7/2012 03:00,0,-0.770910015,-1.222720449
14,SerenaNorth,ZOEY,High,TM,9/7/2012 04:00,0,-0.364603277,-1.222720449
15,SerenaNorth,PEEP,High,TM,9/7/2012 07:00,0,0.05691511,1.687695281
16,SerenaNorth,PEEP,High,TM,9/7/2012 08:00,0,-0.690644522,1.537597618
17,SerenaNorth,WAFL,High,TM,9/7/2012 09:00,0,-0.705625387,0.255703573
18,SerenaNorth,PEEP,High,TM,9/7/2012 09:00,0,-0.447167301,1.537597618
19,SerenaNorth,WAFL,High,TM,9/7/2012 17:00,0,0.888970521,-1.240458558
20,SerenaNorth,WAFL,High,TM,9/7/2012 20:00,0,0.142848976,-0.311483126
21,SerenaNorth,HNDY,Low,TM,9/7/2012 21:00,0,-0.118486356,-1.222720449
22,SerenaNorth,TNSL,Low,TM,9/7/2012 21:00,0,0.701062558,1.573368929
23,SerenaNorth,TNSL,Low,TM,9/7/2012 22:00,0,-0.050066934,0.275562781
24,SerenaNorth,HNDY,Low,TM,9/7/2012 22:00,0,1.688806426,1.455606117
25,SerenaNorth,PEEP,High,TM,9/7/2012 22:00,0,-0.176414337,-1.209757152
26,SerenaNorth,WAFL,High,TM,9/7/2012 22:00,0,-0.159591973,-1.209757152
27,SerenaNorth,EMA,Low,TM,9/7/2012 22:00,0,-0.708748758,0.726259972
28,SerenaNorth,HNDY,Low,TM,9/7/2012 23:00,0,1.598151034,-0.686896038
29,SerenaNorth,WAFL,High,TM,9/7/2012 23:00,0,-0.16005196,-0.311483126
30,SerenaNorth,PEEP,High,TM,9/7/2012 23:00,0,-0.180854999,-0.311483126
31,SerenaNorth,EMA,Low,TM,9/7/2012 23:00,0,-0.778814372,0.275032715
32,SerenaNorth,ZOEY,High,TM,9/8/2012 00:00,0,-0.375168141,-1.236738793
33,SerenaNorth,HNDY,Low,TM,9/8/2012 00:00,0,-0.119189015,-1.225227432
34,SerenaNorth,EMA,Low,TM,9/8/2012 00:00,0,1.136981113,0.275032715
35,SerenaNorth,TNSL,Low,TM,9/8/2012 03:00,0,2.031440783,1.506337169
36,SerenaNorth,HNDY,Low,TM,9/8/2012 03:00,0,0.483063779,1.624425818
37,SerenaNorth,HNDY,Low,TM,9/8/2012 04:00,0,1.585955381,-0.831306551
38,SerenaNorth,TNSL,Low,TM,9/8/2012 04:00,0,2.454420624,0.014091385
39,SerenaNorth,TNSL,Low,TM,9/8/2012 05:00,0,-0.247776173,-1.141641965
40,SerenaNorth,ZOEY,High,TM,9/8/2012 05:00,0,0.470892527,1.506337169
41,SerenaNorth,ZOEY,High,TM,9/8/2012 07:00,0,-0.7816332,0.2165229
42,SerenaNorth,EMA,Low,TM,9/8/2012 07:00,0,-0.735263961,0.639278112
43,SerenaNorth,ZOEY,High,TM,9/8/2012 08:00,0,-0.703535641,0.2165229
