,year,clan,clan.size,clan.size.change,DSGclan.size,DSGclan.size.change,cub.survival,sub.survival,adult.survival,cub.dob,cub.dob1,cub.dob1.lastyear,cub.dob2,adults.t.minus.1,adults.t,avg.subgroup.size
1,1989,talek,71,1.339622642,65.08333,,0.857142857,0.777777778,0.818181818,21,18,9,7,22,18,5.479685452
2,1990,talek,67,0.943661972,54.16667,0.832266419,0.5,0.5,0.952380952,20,10,18,9,21,20,6.076409945
3,1991,talek,73,1.089552239,55,1.015384553,0.458333333,0.8,0.727272727,24,11,10,8,22,16,4.428746929
4,1992,talek,58,0.794520548,49.5,0.9,0.583333333,0.727272727,0.9,12,7,11,8,20,18,3.385579937
5,1993,talek,64,1.103448276,51.5,1.04040404,0.75,1,0.913043478,16,12,7,7,23,21,3.067822736
6,1994,talek,68,1.0625,60,1.165048544,0.578947368,1,0.96,19,11,12,12,25,24,3.71990916
7,1995,talek,75,1.102941176,59.33333,0.988888833,0.212121212,0.727272727,0.8125,33,7,11,8,32,26,3.116081331
8,1996,talek,75,1,62.66667,1.056179891,0.5,0.714285714,0.838709677,22,11,7,5,31,26,2.540652274
9,1997,talek,75,1,65.41667,1.043882976,0.393939394,0.545454545,0.892857143,33,13,11,6,28,25,2.666732052
10,1998,talek,80,1.066666667,63.83333,0.975796078,0.535714286,0.615384615,0.888888889,28,15,13,8,27,24,2.443775963
11,1999,talek,84,1.05,73.5,1.151436091,0.555555556,0.8,0.884615385,27,15,15,12,26,23,2.186478305
12,2000,talek,82,0.976190476,74.16667,1.00907034,0.578947368,0.866666667,0.857142857,19,11,15,13,28,24,3.13565556
13,2001,talek,57,0.695121951,47.5,0.640449409,0.523809524,0.6,0.9,21,11,5,3,20,18,2.764790419
14,2002,talek,56,0.98245614,43.25,0.910526316,0.714285714,0.727272727,0.777777778,14,10,11,8,18,14,2.336734694
15,2003,talek,50,0.892857143,42.41667,0.980732254,0.625,0.6,0.875,8,5,10,6,16,14,2.281841933
16,2004,talek,48,0.96,51.5,1.214145288,0.769230769,0.6,0.888888889,13,10,5,3,18,16,2.519441299
17,2005,talek,62,1.291666667,56.75,1.101941748,0.652173913,0.8,0.6875,23,15,10,8,16,11,2.701769166
