ID,Year,Month,BiMonth,YearBiMonth,StudyBiMonth,Transect,TotalPrey,TotalMigratory,TotalResidents,Richness,Shannon,Evenness,Thomsons,Impala,Zebra,Gnu,Topi,Hartebeast,Warthog,Grants,Buffalo,Hippo,Giraffe,Springbok,Duiker,Ostrich,Eland,Elephant,Oribi,Reedbuck,Waterbuck,Baboons,Bushbuck,Other
1,1988,10,2,20,20,WHIGH,54,13,41,,,,33,,13,0,2,,,,,,,,,,,,,,,,,6
2,1988,10,2,20,20,WLOW,161,94,67,,,,32,,94,0,35,,,,,,,,,,,,,,,,,0
3,1988,11,2,22,22,WHIGH,76,3,73,,,,56,,0,3,12,,,,,,,,,,,,,,,,,5
4,1988,11,2,22,22,WLOW,69,31,38,,,,35,,0,31,2,,,,,,,,,,,,,,,,,1
5,1988,12,1,23,23,WHIGH,25,0,25,,,,7,0,0,0,18,0,,,,,,,,,,,,,,,,0
6,1988,12,1,23,23,WLOW,36,0,36,,,,36,0,0,0,0,0,,,,,,,,,,,,,,,,0
7,1988,12,2,24,24,WHIGH,23,0,23,,,,13,,0,0,9,,,,,,,,,,,,,,,,,1
8,1988,12,2,24,24,WLOW,58,0,58,,,,56,,0,0,2,,,,,,,,,,,,,,,,,0
9,1989,1,1,1,25,WHIGH,64,0,64,,,,56,0,0,0,7,0,,,,,,,,,,,,,,,,1
10,1989,1,1,1,25,WLOW,230,0,230,,,,138,20,0,0,66,0,,,,,,,,,,,,,,,,6
11,1989,1,2,2,26,WHIGH,19,0,19,,,,2,0,0,0,5,12,,,,,,,,,,,,,,,,0
12,1989,1,2,2,26,WLOW,268,0,268,,,,156,6,0,0,106,0,,,,,,,,,,,,,,,,0
13,1989,2,1,3,27,WHIGH,17,0,17,,,,3,0,0,0,4,10,,,,,,,,,,,,,,,,0
14,1989,2,1,3,27,WLOW,109,0,109,,,,65,11,0,0,33,0,,,,,,,,,,,,,,,,0
15,1989,2,2,4,28,WHIGH,0,0,0,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0
16,1989,2,2,4,28,WLOW,431,0,431,,,,347,8,0,0,49,26,,,,,,,,,,,,,,,,1
17,1989,3,1,5,29,WHIGH,4,0,4,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,4
18,1989,3,1,5,29,WLOW,301,0,301,,,,191,5,0,0,103,2,,,,,,,,,,,,,,,,0
19,1989,3,2,6,30,WHIGH,29,0,29,,,,22,0,0,0,2,5,,,,,,,,,,,,,,,,0
20,1989,3,2,6,30,WLOW,246,0,246,,,,97,47,0,0,67,33,,,,,,,,,,,,,,,,2
21,1989,4,1,7,31,WHIGH,55,0,55,,,,25,0,0,0,30,0,,,,,,,,,,,,,,,,0
22,1989,4,1,7,31,WLOW,422,0,422,,,,357,4,0,0,60,1,,,,,,,,,,,,,,,,0
23,1989,4,2,8,32,WHIGH,7,0,7,,,,5,0,0,0,0,2,,,,,,,,,,,,,,,,0
24,1989,4,2,8,32,WLOW,648,0,648,,,,432,33,0,0,155,28,,,,,,,,,,,,,,,,0
25,1989,5,1,9,33,WHIGH,10,0,10,,,,1,0,0,0,0,1,,,,,,,,,,,,,,,,8
26,1989,5,1,9,33,WLOW,169,0,169,,,,139,18,0,0,12,0,,,,,,,,,,,,,,,,0
27,1989,5,2,10,34,WHIGH,0,0,0,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0
28,1989,5,2,10,34,WLOW,145,0,145,,,,79,3,0,0,60,2,,,,,,,,,,,,,,,,1
29,1989,6,1,11,35,WHIGH,0,0,0,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0
30,1989,6,1,11,35,WLOW,600,0,600,,,,240,5,0,0,315,35,,,,,,,,,,,,,,,,5
31,1989,6,2,12,36,WHIGH,1,0,1,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,1
32,1989,6,2,12,36,WLOW,255,0,255,,,,238,5,0,0,11,0,,,,,,,,,,,,,,,,1
33,1989,7,1,13,37,WHIGH,10,0,10,,,,0,0,0,0,8,0,,,,,,,,,,,,,,,,2
34,1989,7,1,13,37,WLOW,317,18,299,,,,230,3,0,18,64,0,,,,,,,,,,,,,,,,2
35,1989,7,2,14,38,WHIGH,0,0,0,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0
36,1989,7,2,14,38,WLOW,200,0,200,,,,122,2,0,0,66,5,,,,,,,,,,,,,,,,5
37,1989,8,1,15,39,WHIGH,49,12,37,,,,17,1,12,0,0,7,,,,,,,,,,,,,,,,12
38,1989,8,1,15,39,WLOW,314,186,128,,,,53,5,73,113,68,0,,,,,,,,,,,,,,,,2
39,1989,8,2,16,40,WHIGH,284,279,5,,,,0,0,171,108,0,5,,,,,,,,,,,,,,,,0
40,1989,8,2,16,40,WLOW,438,325,113,,,,79,4,18,307,23,5,,,,,,,,,,,,,,,,2
41,1989,9,1,17,41,WHIGH,350,348,2,,,,1,0,8,340,0,1,,,,,,,,,,,,,,,,0
42,1989,9,1,17,41,WLOW,98,52,46,,,,32,0,26,26,14,0,,,,,,,,,,,,,,,,0
43,1989,9,2,18,42,WHIGH,82,0,82,,,,3,1,0,0,43,33,,,,,,,,,,,,,,,,2
44,1989,9,2,18,42,WLOW,105,13,92,,,,59,4,13,0,28,0,,,,,,,,,,,,,,,,1
45,1989,10,1,19,43,WHIGH,21,0,21,,,,0,0,0,0,0,17,,,,,,,,,,,,,,,,4
46,1989,10,1,19,43,WLOW,55,12,43,,,,29,1,12,0,13,0,,,,,,,,,,,,,,,,0
47,1989,10,2,20,44,WHIGH,43,3,40,,,,0,1,0,3,6,22,,,,,,,,,,,,,,,,11
48,1989,10,2,20,44,WLOW,70,0,70,,,,47,3,0,0,17,0,,,,,,,,,,,,,,,,3
49,1989,11,1,21,45,WHIGH,30,7,23,,,,13,1,7,0,3,6,,,,,,,,,,,,,,,,0
50,1989,11,1,21,45,WLOW,61,0,61,,,,29,3,0,0,29,0,,,,,,,,,,,,,,,,0
51,1989,11,2,22,46,WHIGH,71,64,7,,,,0,2,64,0,4,1,,,,,,,,,,,,,,,,0
52,1989,11,2,22,46,WLOW,73,5,68,,,,50,0,0,5,18,0,,,,,,,,,,,,,,,,0
53,1989,12,1,23,47,WHIGH,61,52,9,,,,0,0,52,0,7,1,,,,,,,,,,,,,,,,1
54,1989,12,1,23,47,WLOW,24,0,24,,,,16,2,0,0,6,0,,,,,,,,,,,,,,,,0
55,1989,12,2,24,48,WHIGH,12,0,12,,,,1,0,0,0,7,2,,,,,,,,,,,,,,,,2
56,1989,12,2,24,48,WLOW,96,0,96,,,,67,0,0,0,28,0,,,,,,,,,,,,,,,,1
57,1990,1,1,1,49,WHIGH,11,0,11,,,,0,1,0,0,1,6,,,,,,,,,,,,,,,,3
58,1990,1,1,1,49,WLOW,237,0,237,,,,195,2,0,0,33,0,,,,,,,,,,,,,,,,7
59,1990,1,2,2,50,WHIGH,2,0,2,,,,0,0,0,0,0,1,,,,,,,,,,,,,,,,1
60,1990,1,2,2,50,WLOW,295,7,288,,,,208,1,4,3,69,6,,,,,,,,,,,,,,,,4
61,1990,2,1,3,51,WHIGH,0,0,0,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0
62,1990,2,1,3,51,WLOW,206,1,205,,,,139,24,0,1,42,0,,,,,,,,,,,,,,,,0
63,1990,2,2,4,52,WHIGH,17,0,17,,,,0,0,0,0,1,13,,,,,,,,,,,,,,,,3
64,1990,2,2,4,52,WLOW,391,0,391,,,,320,17,0,0,52,1,,,,,,,,,,,,,,,,1
65,1990,3,1,5,53,WHIGH,25,4,21,,,,1,0,4,0,0,13,,,,,,,,,,,,,,,,7
66,1990,3,1,5,53,WLOW,484,6,478,,,,338,61,5,1,73,5,,,,,,,,,,,,,,,,1
67,1990,3,2,6,54,WHIGH,17,0,17,,,,0,0,0,0,0,3,,,,,,,,,,,,,,,,14
68,1990,3,2,6,54,WLOW,161,1,160,,,,93,22,0,1,45,0,,,,,,,,,,,,,,,,0
