Observation,year,month,TotalLionHyenaInteractions,NumberOfSessions
1,1988,10,1,-0.700336903
2,1988,11,3,-1.327185208
3,1988,12,3,-0.999831093
4,1988,6,0,-1.856523778
5,1988,7,4,-1.146095698
6,1988,8,0,-1.487379775
7,1988,9,2,-1.292360302
8,1989,1,2,-0.895356375
9,1989,10,1,-1.006796074
10,1989,11,5,-0.86053147
11,1989,12,9,-1.194850566
12,1989,2,1,-0.958041206
13,1989,3,4,-1.062515924
14,1989,4,0,-1.271465359
15,1989,5,3,-1.313255246
16,1989,6,2,-0.651582034
17,1989,7,0,-1.368975095
18,1989,8,2,-1.292360302
19,1989,9,4,-0.839636526
20,1990,1,2,-0.971971168
21,1990,10,1,-1.139130717
22,1990,11,1,-1.208780528
23,1990,12,9,-0.902321357
24,1990,2,0,-0.825706564
25,1990,3,0,-1.605784455
26,1990,4,8,-0.80481162
27,1990,5,0,-1.062515924
28,1990,6,2,-0.937146262
29,1990,7,0,-1.710259173
30,1990,8,8,-0.62372211
31,1990,9,5,-1.069480905
32,1991,1,4,-0.191893277
33,1991,10,3,-0.714266865
34,1991,11,11,0.017056159
35,1991,12,9,-0.62372211
36,1991,2,5,-0.581932223
37,1991,3,3,-1.132165735
38,1991,5,3,-1.27843034
39,1991,6,4,-1.375940076
40,1991,7,15,-1.048585961
41,1991,8,4,-1.055550942
42,1991,9,8,-0.867496451
43,1992,1,9,-0.345122863
44,1992,10,3,-0.017768747
45,1992,11,3,-0.574967241
46,1992,12,12,1.054838354
47,1992,2,0,-1.048585961
48,1992,3,6,-1.264500378
49,1992,4,3,-0.951076225
50,1992,5,11,-0.421737656
51,1992,6,11,-0.533177354
52,1992,7,5,-0.073488597
53,1992,8,0,-0.56800226
54,1992,9,4,-1.375940076
55,1993,1,3,0.239935556
56,1993,10,2,-1.389870039
57,1993,11,4,-1.334150189
58,1993,12,1,-0.971971168
59,1993,2,3,-0.073488597
60,1993,3,1,0.267795481
61,1993,4,7,0.156355782
62,1993,5,5,-0.177963314
63,1993,6,2,-0.965006187
64,1993,7,4,-0.303332976
65,1993,8,3,-0.003838785
66,1993,9,7,-1.327185208
67,1994,1,3,-1.389870039
68,1994,10,2,-0.97893615
69,1994,11,0,-0.324227919
70,1994,12,1,-0.09438354
71,1994,2,2,-1.417729964
72,1994,3,1,-1.577924531
73,1994,4,7,-0.177963314
74,1994,5,4,-0.345122863
75,1994,6,5,-0.101348521
76,1994,7,1,0.985188542
77,1994,8,0,0.030986121
78,1994,9,2,0.030986121
79,1995,1,1,0.079740989
80,1995,10,0,1.068768316
81,1995,11,2,0.818028994
82,1995,12,5,1.026978429
83,1995,2,5,-0.191893277
84,1995,3,6,0.671764389
85,1995,4,0,-0.602827166
86,1995,5,2,-0.74212679
87,1995,6,3,0.831958956
88,1995,7,3,0.783204088
89,1995,8,1,0.107600914
90,1995,9,2,2.266745078
91,1996,1,2,-0.561037279
92,1996,10,13,2.057795643
93,1996,11,7,1.291647714
94,1996,12,2,1.869741151
95,1996,2,2,0.149390801
96,1996,3,8,0.476744916
97,1996,4,5,-0.895356375
98,1996,5,5,0.755344163
99,1996,6,14,3.1095078
100,1996,7,7,1.765266433
101,1996,8,0,0.581219634
102,1996,9,6,0.664799408
103,1997,1,5,1.528457073
104,1997,10,0,2.022970737
105,1997,11,0,1.221997902
106,1997,12,0,1.86277617
107,1997,2,5,1.695616622
108,1997,3,3,1.758301452
109,1997,4,3,1.62596681
110,1997,5,10,2.057795643
111,1997,6,3,1.86277617
112,1997,7,12,4.627873696
113,1997,8,4,2.113515492
114,1997,9,6,2.050830662
115,1998,1,6,0.581219634
116,1998,10,8,2.029935718
117,1998,11,10,1.013048467
118,1998,12,5,2.009040775
119,1998,2,3,1.187172996
120,1998,3,2,1.361297525
121,1998,4,0,0.08670597
122,1998,5,0,-1.529169662
123,1998,6,3,0.838923937
124,1998,7,7,2.204060247
125,1998,8,1,0.595149596
126,1998,9,1,-0.066523616
127,1999,1,5,0.037951102
128,1999,10,0,0.755344163
129,1999,11,1,0.894643787
130,1999,12,15,1.62596681
131,1999,2,3,0.462814954
132,1999,3,3,0.017056159
133,1999,4,6,0.623009521
134,1999,5,8,1.221997902
135,1999,6,6,0.866783862
136,1999,7,5,0.288690424
137,1999,8,6,0.518534803
138,1999,9,4,0.657834427
139,2000,1,5,0.365305217
140,2000,10,0,-0.010803766
141,2000,11,0,-0.045628672
142,2000,12,1,0.602114577
143,2000,2,7,0.859818881
144,2000,3,2,-0.540142335
145,2000,4,5,1.612036848
146,2000,5,5,0.281725443
147,2000,6,3,0.198145669
148,2000,7,1,1.375227488
149,2000,8,0,0.267795481
150,2000,9,3,-0.09438354
151,2001,1,2,-0.338157881
152,2001,10,1,0.692659332
153,2001,11,11,1.646861753
154,2001,12,14,1.716511565
155,2001,2,0,0.44192001
156,2001,3,2,0.226005594
157,2001,4,1,0.107600914
158,2001,5,9,1.514527111
159,2001,6,11,1.841881226
160,2001,7,3,0.629974502
161,2001,8,4,0.671764389
162,2001,9,4,0.657834427
163,2002,1,3,0.532464765
164,2002,10,0,1.006083485
165,2002,11,1,-0.275473051
166,2002,12,6,-0.059558634
167,2002,2,12,1.932425982
168,2002,3,11,1.709546584
169,2002,4,3,0.407095104
170,2002,5,1,-0.602827166
171,2002,6,1,1.263787789
172,2002,7,0,1.124488165
173,2002,8,1,0.887678805
174,2002,9,1,0.581219634
175,2003,1,4,-0.191893277
176,2003,10,0,0.671764389
177,2003,11,0,0.49763986
178,2003,12,0,0.539429747
179,2003,2,6,0.003126196
180,2003,3,2,0.184215707
181,2003,4,5,-0.045628672
182,2003,5,2,-0.254578107
183,2003,6,4,-0.38691275
184,2003,7,10,-0.087418559
185,2003,8,0,-0.519247392
186,2003,9,1,-0.240648145
187,2004,1,1,-0.164033352
188,2004,10,5,1.319507638
189,2004,11,4,0.79713405
190,2004,12,12,0.602114577
191,2004,2,0,0.2608305
192,2004,3,2,0.462814954
193,2004,4,1,-0.164033352
194,2004,5,8,0.010091177
195,2004,6,9,0.246900537
196,2004,7,0,0.184215707
197,2004,8,1,-0.282438032
198,2004,9,0,-0.484422486
199,2005,1,13,1.688651641
200,2005,10,0,0.748379182
201,2005,11,4,0.37923518
202,2005,12,8,1.340402582
203,2005,2,1,0.414060085
204,2005,3,7,1.382192469
205,2005,4,16,0.44192001
206,2005,5,5,-0.616757128
207,2005,6,17,0.309585368
208,2005,7,13,0.281725443
209,2005,8,10,0.657834427
210,2005,9,2,0.330480311
211,2006,1,5,1.619001829
212,2006,10,0,-0.80481162
213,2006,11,0,-0.442632599
214,2006,12,0,-1.410764982
215,2006,2,0,0.518534803
216,2006,3,4,-0.038663691
217,2006,4,16,0.783204088
218,2006,5,18,0.692659332
219,2006,6,13,1.026978429
220,2006,7,0,0.73444922
221,2006,8,1,-0.999831093
222,2006,9,0,-0.985901131
223,2007,1,0,-1.382905058
224,2007,10,0,-0.62372211
225,2007,11,1,-0.554072298
226,2007,12,1,-1.257535396
227,2007,2,2,-1.75204906
228,2007,3,2,-0.588897204
229,2007,4,3,-1.313255246
230,2007,5,2,-1.104305811
231,2007,6,0,-0.616757128
232,2007,7,0,-0.944111244
233,2007,8,5,-1.027691018
234,2007,9,3,-0.930181281
235,2008,1,9,-0.9232163
236,2008,10,0,-0.157068371
237,2008,11,3,-0.700336903
238,2008,12,13,0.421025067
239,2008,2,9,-1.215745509
240,2008,3,16,-0.679441959
241,2008,4,12,-0.561037279
242,2008,5,1,-0.630687091
243,2008,6,4,-0.86053147
244,2008,7,2,-0.714266865
245,2008,8,2,-0.616757128
246,2008,9,1,-0.944111244
247,2009,1,0,-0.184928296
248,2009,10,1,0.490674878
249,2009,11,6,-0.205823239
250,2009,12,8,-0.407807693
251,2009,2,1,-1.27843034
252,2009,3,0,-1.98885842
253,2009,4,0,-1.375940076
254,2009,5,2,-0.97893615
255,2009,6,7,0.32351533
256,2009,7,0,-0.414772674
257,2009,8,10,0.602114577
258,2009,9,0,0.636939483
259,2010,1,2,-0.442632599
260,2010,10,0,-0.999831093
261,2010,11,1,-0.637652072
262,2010,12,1,-1.431659926
263,2010,2,4,-0.338157881
264,2010,3,4,-0.679441959
265,2010,4,13,0.288690424
266,2010,5,10,0.37923518
267,2010,6,7,-0.03169871
268,2010,7,0,-0.191893277
269,2010,8,0,-0.818741582
270,2010,9,0,-1.118235773
271,2011,1,0,-0.86053147
272,2011,10,2,-0.630687091
273,2011,11,1,-0.874461432
274,2011,12,0,-0.763021733
275,2011,2,4,-1.111270792
276,2011,3,2,-0.874461432
277,2011,4,5,-0.56800226
278,2011,5,2,0.226005594
279,2011,6,3,0.483709897
280,2011,7,0,-0.324227919
281,2011,8,0,-0.50531743
282,2011,9,1,-0.602827166
283,2012,1,0,0.351375255
284,2012,10,4,0.072776008
285,2012,11,4,0.469779935
286,2012,12,3,0.309585368
287,2012,2,5,0.010091177
288,2012,3,5,-0.303332976
289,2012,4,0,-0.888391394
290,2012,5,8,-0.372982787
291,2012,6,16,0.490674878
292,2012,7,15,1.047873372
293,2012,8,2,-0.463527543
294,2012,9,3,0.121530876
295,2013,1,6,0.32351533
296,2013,2,3,0.267795481
297,2013,3,0,0.511569822
298,2013,4,1,-0.846601507
299,2013,5,11,0.908573749
300,2013,6,2,0.706589295
301,2013,7,0,1.03394341
302,2013,8,0,-0.38691275
303,2013,9,0,-0.164033352
