,Year,MeanLivestock,SELivestock,,,,,,
1,1988,0,0,,,,,,
2,1989,0,0,,,,,,
3,1990,0,0,,,,,,
4,1991,0,0,,,,,,
5,2000,553.5576923,553.5577,,,,,,
6,2001,605.6083916,605.6084,,,,,,
7,2002,559.6683417,559.6683,,,,,,
8,2003,417.9215686,417.9216,,,,,,
9,2004,345.7317073,345.7317,,,,,,
10,2005,279.7407407,279.7407,,,,,,
11,2006,495.1329114,495.1329,,,,,,
12,2007,400.95,400.95,,,,,,
13,2008,308.9387755,308.9388,,,,,,
14,2009,1608.642857,1608.6429,,,,,,
15,2010,807.8695652,807.8696,,,,,,
16,2011,984.1428571,984.1429,,,,,,
17,2012,1401.333333,1401.3333,,,,,,
18,2013,2218.85,2218.85,,,,,,
19,2014,3763.722222,3763.7222,,,,,,
20,2015,4002.904762,4002.9048,,,,,,
21,2016,1060.954545,1060.9545,,,,,,
22,2017,1624.428571,1624.4286,,,,,,
