"","month","year","clan","clan.size"
"355",1,2009,"happy.zebra",26
"356",2,2009,"happy.zebra",31
"357",3,2009,"happy.zebra",29
"358",4,2009,"happy.zebra",28
"359",5,2009,"happy.zebra",27
"360",6,2009,"happy.zebra",27
"361",7,2009,"happy.zebra",25
"362",8,2009,"happy.zebra",24
"363",9,2009,"happy.zebra",25
"364",10,2009,"happy.zebra",25
"365",11,2009,"happy.zebra",26
"366",12,2009,"happy.zebra",28
"367",1,2010,"happy.zebra",28
"368",2,2010,"happy.zebra",26
"369",3,2010,"happy.zebra",27
"370",4,2010,"happy.zebra",22
"371",5,2010,"happy.zebra",22
"372",6,2010,"happy.zebra",22
"373",7,2010,"happy.zebra",22
"374",8,2010,"happy.zebra",22
"375",9,2010,"happy.zebra",26
"376",10,2010,"happy.zebra",27
"377",11,2010,"happy.zebra",28
"378",12,2010,"happy.zebra",34
"379",1,2011,"happy.zebra",34
"380",2,2011,"happy.zebra",32
"381",3,2011,"happy.zebra",34
"382",4,2011,"happy.zebra",36
"383",5,2011,"happy.zebra",31
"384",6,2011,"happy.zebra",31
"385",7,2011,"happy.zebra",31
"386",8,2011,"happy.zebra",33
"387",9,2011,"happy.zebra",33
"388",10,2011,"happy.zebra",34
"389",11,2011,"happy.zebra",35
"390",12,2011,"happy.zebra",38
"391",1,2012,"happy.zebra",37
"392",2,2012,"happy.zebra",39
"393",3,2012,"happy.zebra",40
"394",4,2012,"happy.zebra",38
"395",5,2012,"happy.zebra",34
"396",6,2012,"happy.zebra",31
"397",7,2012,"happy.zebra",27
"398",8,2012,"happy.zebra",27
"399",9,2012,"happy.zebra",26
"400",10,2012,"happy.zebra",28
"401",11,2012,"happy.zebra",30
"402",12,2012,"happy.zebra",29
"403",1,2013,"happy.zebra",28
"404",2,2013,"happy.zebra",31
"405",3,2013,"happy.zebra",34
"406",4,2013,"happy.zebra",34
"407",5,2013,"happy.zebra",34
"408",6,2013,"happy.zebra",35
"409",7,2013,"happy.zebra",34
"410",8,2013,"happy.zebra",35
"411",9,2013,"happy.zebra",34
"412",10,2013,"happy.zebra",34
"413",11,2013,"happy.zebra",34
"414",12,2013,"happy.zebra",37
"415",1,2014,"happy.zebra",45
"416",2,2014,"happy.zebra",42
"417",3,2014,"happy.zebra",44
"418",4,2014,"happy.zebra",44
"419",5,2014,"happy.zebra",45
"420",6,2014,"happy.zebra",47
"421",7,2014,"happy.zebra",47
"422",8,2014,"happy.zebra",49
"423",9,2014,"happy.zebra",49
"424",10,2014,"happy.zebra",49
"425",11,2014,"happy.zebra",55
"426",12,2014,"happy.zebra",54
"427",1,2015,"happy.zebra",53
"428",2,2015,"happy.zebra",56
"429",3,2015,"happy.zebra",60
"430",4,2015,"happy.zebra",58
"431",5,2015,"happy.zebra",58
"432",6,2015,"happy.zebra",58
"433",7,2015,"happy.zebra",55
"434",8,2015,"happy.zebra",55
"435",9,2015,"happy.zebra",57
"436",10,2015,"happy.zebra",56
"437",11,2015,"happy.zebra",52
"438",12,2015,"happy.zebra",52
"439",1,2016,"happy.zebra",47
"440",2,2016,"happy.zebra",48
"441",3,2016,"happy.zebra",48
"442",4,2016,"happy.zebra",42
"443",5,2016,"happy.zebra",40
"444",6,2016,"happy.zebra",42
"445",7,2016,"happy.zebra",42
"446",8,2016,"happy.zebra",44
"447",9,2016,"happy.zebra",44
"448",10,2016,"happy.zebra",43
"449",11,2016,"happy.zebra",48
"450",12,2016,"happy.zebra",49
"469",1,2009,"serena.n",59
"470",2,2009,"serena.n",59
"471",3,2009,"serena.n",57
"472",4,2009,"serena.n",53
"473",5,2009,"serena.n",51
"474",6,2009,"serena.n",49
"475",7,2009,"serena.n",44
"476",8,2009,"serena.n",40
"477",9,2009,"serena.n",39
"478",10,2009,"serena.n",39
"479",11,2009,"serena.n",38
"480",12,2009,"serena.n",40
"481",1,2010,"serena.n",39
"482",2,2010,"serena.n",41
"483",3,2010,"serena.n",45
"484",4,2010,"serena.n",45
"485",5,2010,"serena.n",45
"486",6,2010,"serena.n",43
"487",7,2010,"serena.n",41
"488",8,2010,"serena.n",41
"489",9,2010,"serena.n",42
"490",10,2010,"serena.n",44
"491",11,2010,"serena.n",53
"492",12,2010,"serena.n",55
"493",1,2011,"serena.n",56
"494",2,2011,"serena.n",56
"495",3,2011,"serena.n",59
"496",4,2011,"serena.n",58
"497",5,2011,"serena.n",57
"498",6,2011,"serena.n",58
"499",7,2011,"serena.n",57
"500",8,2011,"serena.n",57
"501",9,2011,"serena.n",57
"502",10,2011,"serena.n",60
"503",11,2011,"serena.n",59
"504",12,2011,"serena.n",52
"505",1,2012,"serena.n",52
"506",2,2012,"serena.n",54
"507",3,2012,"serena.n",50
"508",4,2012,"serena.n",49
"509",5,2012,"serena.n",48
"510",6,2012,"serena.n",46
"511",7,2012,"serena.n",46
"512",8,2012,"serena.n",46
"513",9,2012,"serena.n",48
"514",10,2012,"serena.n",51
"515",11,2012,"serena.n",48
"516",12,2012,"serena.n",53
"517",1,2013,"serena.n",56
"518",2,2013,"serena.n",60
"519",3,2013,"serena.n",57
"520",4,2013,"serena.n",56
"521",5,2013,"serena.n",54
"522",6,2013,"serena.n",54
"523",7,2013,"serena.n",51
"524",8,2013,"serena.n",51
"525",9,2013,"serena.n",50
"526",10,2013,"serena.n",50
"527",11,2013,"serena.n",54
"528",12,2013,"serena.n",56
"529",1,2014,"serena.n",57
"530",2,2014,"serena.n",58
"531",3,2014,"serena.n",60
"532",4,2014,"serena.n",62
"533",5,2014,"serena.n",61
"534",6,2014,"serena.n",59
"535",7,2014,"serena.n",58
"536",8,2014,"serena.n",60
"537",9,2014,"serena.n",59
"538",10,2014,"serena.n",59
"539",11,2014,"serena.n",61
"540",12,2014,"serena.n",64
"541",1,2015,"serena.n",64
"542",2,2015,"serena.n",64
"543",3,2015,"serena.n",63
"544",4,2015,"serena.n",65
"545",5,2015,"serena.n",62
"546",6,2015,"serena.n",62
"547",7,2015,"serena.n",65
"548",8,2015,"serena.n",68
"549",9,2015,"serena.n",67
"550",10,2015,"serena.n",66
"551",11,2015,"serena.n",68
"552",12,2015,"serena.n",74
"553",1,2016,"serena.n",76
"554",2,2016,"serena.n",74
"555",3,2016,"serena.n",74
"556",4,2016,"serena.n",69
"557",5,2016,"serena.n",63
"558",6,2016,"serena.n",64
"559",7,2016,"serena.n",62
"560",8,2016,"serena.n",60
"561",9,2016,"serena.n",59
"562",10,2016,"serena.n",58
"563",11,2016,"serena.n",60
"564",12,2016,"serena.n",61
"565",1,2017,"serena.n",65
"566",2,2017,"serena.n",65
"567",3,2017,"serena.n",65
"568",4,2017,"serena.n",63
"569",5,2017,"serena.n",65
"570",6,2017,"serena.n",65
"571",7,2017,"serena.n",63
"572",8,2017,"serena.n",63
"573",9,2017,"serena.n",63
"574",10,2017,"serena.n",65
"575",11,2017,"serena.n",69
"576",12,2017,"serena.n",69
"577",1,2018,"serena.n",69
"578",2,2018,"serena.n",71
"579",3,2018,"serena.n",70
"580",4,2018,"serena.n",70
"581",5,2018,"serena.n",70
"582",6,2018,"serena.n",70
"583",1,2009,"serena.s",38
"584",2,2009,"serena.s",36
"585",3,2009,"serena.s",36
"586",4,2009,"serena.s",36
"587",5,2009,"serena.s",39
"588",6,2009,"serena.s",37
"589",7,2009,"serena.s",37
"590",8,2009,"serena.s",38
"591",9,2009,"serena.s",41
"592",10,2009,"serena.s",41
"593",11,2009,"serena.s",41
"594",12,2009,"serena.s",41
"595",1,2010,"serena.s",45
"596",2,2010,"serena.s",44
"597",3,2010,"serena.s",44
"598",4,2010,"serena.s",45
"599",5,2010,"serena.s",45
"600",6,2010,"serena.s",43
