"clan","year","session","num.aggs","num.ids","duration","migration","agg.rate"
"happy.zebra",2009,"s889",0,1,26,"no.migration",0
"happy.zebra",2009,"s485",8,14,35,"no.migration",0.0163265306122449
"happy.zebra",2009,"s642",0,14,5,"migration",0
"happy.zebra",2009,"s664",0,7,44,"migration",0
"happy.zebra",2009,"s381",1,6,53,"no.migration",0.00314465408805031
"happy.zebra",2009,"s472",0,15,35,"no.migration",0
"happy.zebra",2010,"s1115",0,1,5,"migration",0
"happy.zebra",2010,"s1154",4,5,28,"migration",0.0285714285714286
"happy.zebra",2010,"s1262",1,3,20,"no.migration",0.0166666666666667
"happy.zebra",2010,"s991",4,2,43,"no.migration",0.0465116279069767
"happy.zebra",2010,"s1005",0,4,10,"no.migration",0
"happy.zebra",2011,"s7508",1,12,5,"migration",0.0166666666666667
"happy.zebra",2011,"s7510.1",0,1,26,"migration",0
"happy.zebra",2011,"s7512",0,11,5,"migration",0
"happy.zebra",2012,"s9704",0,1,12,"no.migration",0
"happy.zebra",2012,"s9833",3,7,51,"migration",0.00840336134453781
"happy.zebra",2012,"s9814",0,4,18,"migration",0
"happy.zebra",2012,"s9689",3,8,5,"no.migration",0.075
"happy.zebra",2013,"s12205",1,12,5,"no.migration",0.0166666666666667
"happy.zebra",2013,"s12208",0,1,20,"no.migration",0
"happy.zebra",2013,"s12370",0,1,15,"migration",0
"happy.zebra",2013,"s12382",0,11,5,"migration",0
"happy.zebra",2013,"s12490",1,5,5,"migration",0.04
"happy.zebra",2013,"s12557",0,5,11,"migration",0
"happy.zebra",2013,"s12309",32,10,5,"migration",0.64
"happy.zebra",2014,"s13142",0,16,10,"no.migration",0
"happy.zebra",2014,"s12727",0,5,19,"no.migration",0
"happy.zebra",2014,"s13027",0,4,51,"migration",0
"happy.zebra",2014,"s13028",0,1,32,"migration",0
"happy.zebra",2015,"s16012",57,19,5,"no.migration",0.6
"happy.zebra",2015,"s16250",0,2,11,"no.migration",0
"happy.zebra",2015,"s16318",0,3,24,"no.migration",0
"happy.zebra",2015,"s16666",13,10,41,"no.migration",0.0317073170731707
"happy.zebra",2015,"s17771",0,1,15,"migration",0
"happy.zebra",2015,"s17800",24,6,5,"migration",0.8
"happy.zebra",2016,"s18985",0,1,14,"no.migration",0
"happy.zebra",2016,"s20456.1",0,18,5,"migration",0
"happy.zebra",2016,"s19144",0,7,35,"migration",0
"happy.zebra",2016,"s20416",0,2,5,"migration",0
"happy.zebra",2016,"s20903",0,3,41,"no.migration",0
"happy.zebra",2017,"s21188",0,1,5,"no.migration",0
"happy.zebra",2017,"s21191",0,1,41,"no.migration",0
"happy.zebra",2017,"s21757",0,7,53,"no.migration",0
"happy.zebra",2017,"s21758",0,1,5,"no.migration",0
"happy.zebra",2017,"s21768",0,11,13,"no.migration",0
"happy.zebra",2017,"s21909",0,11,54,"migration",0
"serena.n",2009,"s1771",2,5,10,"no.migration",0.04
"serena.n",2009,"s2343",1,6,5,"migration",0.0333333333333333
"serena.n",2009,"s2098",0,5,5,"migration",0
"serena.n",2009,"s1957",0,2,29,"no.migration",0
"serena.n",2009,"s2168",0,2,37,"migration",0
"serena.n",2009,"s2406",0,6,5,"no.migration",0
"serena.n",2010,"s3177",0,1,11,"no.migration",0
"serena.n",2010,"s3179",31,6,5,"no.migration",1.03333333333333
"serena.n",2010,"s2505",3,2,25,"no.migration",0.06
"serena.n",2010,"s3079",11,6,44,"migration",0.0416666666666667
"serena.n",2010,"s3087",8,7,13,"migration",0.0879120879120879
"serena.n",2010,"s3089",10,9,41,"migration",0.02710027100271
"serena.n",2010,"s2548",1,5,51,"no.migration",0.00392156862745098
"serena.n",2010,"s2852",0,8,47,"no.migration",0
"serena.n",2010,"s2902",25,21,5,"migration",0.238095238095238
"serena.n",2010,"s3303",16,8,41,"no.migration",0.0487804878048781
"serena.n",2010,"s3067",13,10,5,"migration",0.26
"serena.n",2011,"s6186",0,4,24,"no.migration",0
"serena.n",2011,"s6925",0,2,16,"migration",0
"serena.n",2011,"s7199",0,1,27,"no.migration",0
"serena.n",2011,"s5937",2,7,17,"no.migration",0.0168067226890756
"serena.n",2011,"s5974",0,23,5,"no.migration",0
"serena.n",2011,"s6161",0,1,14,"no.migration",0
"serena.n",2011,"s7069",0,9,5,"no.migration",0
"serena.n",2011,"s5938",0,6,5,"no.migration",0
"serena.n",2011,"s6526",1,3,55,"migration",0.00606060606060606
"serena.n",2012,"s7900",0,4,10,"migration",0
"serena.n",2012,"s7913",3,15,36,"migration",0.00555555555555556
"serena.n",2012,"s7908",14,16,5,"migration",0.175
"serena.n",2012,"s7909",0,4,5,"migration",0
"serena.n",2012,"s8216",0,1,5,"no.migration",0
"serena.n",2012,"s7911",0,6,19,"migration",0
"serena.n",2013,"s9893",26,13,32,"no.migration",0.0625
"serena.n",2013,"s9917",0,1,5,"no.migration",0
"serena.n",2013,"s10391",1,2,19,"no.migration",0.0263157894736842
"serena.n",2013,"s10894",27,22,5,"migration",0.245454545454545
"serena.n",2013,"s10947",0,2,5,"migration",0
"serena.n",2013,"s11340",9,13,5,"no.migration",0.138461538461538
"serena.n",2013,"s10146",40,10,40,"migration",0.1
"serena.n",2013,"s10568",8,12,5,"no.migration",0.133333333333333
"serena.n",2014,"s13829",7,20,57,"no.migration",0.00614035087719298
"serena.n",2014,"s14349",0,5,49,"migration",0
"serena.n",2014,"s13451",2,6,30,"no.migration",0.0111111111111111
"serena.n",2014,"s13590",2,4,28,"no.migration",0.0178571428571429
"serena.n",2014,"s13592",0,4,5,"no.migration",0
"serena.n",2014,"s13907",1,11,32,"migration",0.00284090909090909
"serena.n",2014,"s13944",1,17,28,"migration",0.00210084033613445
"serena.n",2014,"s14044",1,5,18,"migration",0.0111111111111111
"serena.n",2014,"s14070",9,10,5,"migration",0.18
"serena.n",2014,"s14230",0,1,12,"migration",0
"serena.n",2014,"s14305",0,10,57,"migration",0
"serena.n",2014,"s14315",5,11,5,"migration",0.0909090909090909
"serena.n",2014,"s14360",4,5,5,"migration",0.16
"serena.n",2014,"s14472",0,11,5,"no.migration",0
"serena.n",2014,"s13964",0,6,37,"migration",0
"serena.n",2015,"s15995",1,3,10,"no.migration",0.0333333333333333
"serena.n",2015,"s17125",0,3,14,"migration",0
"serena.n",2015,"s17005",195,35,5,"migration",1.11428571428571
"serena.n",2015,"s15702",0,6,12,"no.migration",0
"serena.n",2015,"s15767",19,10,35,"no.migration",0.0542857142857143
"serena.n",2015,"s17146",28,15,52,"migration",0.0358974358974359
"serena.n",2015,"s17174",6,8,47,"migration",0.0159574468085106
"serena.n",2015,"s17194",0,9,28,"migration",0
"serena.n",2015,"s17951",31,12,5,"migration",0.516666666666667
"serena.n",2016,"s20155",0,2,5,"migration",0
"serena.n",2016,"s19478",16,20,58,"migration",0.0137931034482759
"serena.n",2016,"s20536",0,7,35,"migration",0
"serena.n",2016,"s20654",104,19,5,"no.migration",1.09473684210526
"serena.n",2016,"s18794",0,7,48,"no.migration",0
"serena.n",2016,"s19976",0,1,5,"migration",0
