"","clan","year","mean.group.size","mean.group.size.nodens"
"1","happy.zebra","2008",3.19095477386935,3.05785123966942
"2","happy.zebra","2009",4.13279132791328,2.44444444444444
"3","happy.zebra","2010",3.83333333333333,2.06315789473684
"4","happy.zebra","2011",4.04672897196262,2.59183673469388
"5","happy.zebra","2012",4.47872340425532,2.83734939759036
"6","happy.zebra","2013",5.82880434782609,3.11320754716981
"7","happy.zebra","2014",6.70242214532872,2.13793103448276
"8","happy.zebra","2015",6.65931863727455,3.58823529411765
"9","happy.zebra","2016",4.86068111455108,2.34705882352941
"10","happy.zebra","2017",6.19298245614035,2.3302752293578
"11","happy.zebra","2018",2.2,2.11764705882353
"12","serena.n","2008",4.34732824427481,3.18320610687023
"13","serena.n","2009",5.52706552706553,2.25
"14","serena.n","2010",3.5546875,2.58766233766234
"15","serena.n","2011",4.13274336283186,2.30604982206406
"16","serena.n","2012",4.51696606786427,2.26797385620915
"17","serena.n","2013",4.43504531722054,2.79666666666667
"18","serena.n","2014",3.960407239819,2.98536585365854
"19","serena.n","2015",4.05169340463458,2.6
"20","serena.n","2016",4.61864406779661,2.61631419939577
"21","serena.n","2017",6.24744376278119,3.01973684210526
"22","serena.n","2018",6.85454545454545,1.90322580645161
"23","serena.s","2008",3.7,2.44444444444444
"24","serena.s","2009",4.85053380782918,2.28571428571429
"25","serena.s","2010",4.26943005181347,2.47953216374269
"26","serena.s","2011",3.83172413793103,2.4802371541502
"27","serena.s","2012",3.86700767263427,1.7536231884058
"28","serena.s","2013",3.30511811023622,2.4702380952381
"29","serena.s","2014",5.21330275229358,1.90196078431373
"30","serena.s","2015",4.36412078152753,2.43598615916955
"31","serena.s","2016",5.33106267029973,1.84831460674157
"32","serena.s","2017",5.51060358890701,3.21025641025641
"33","talek","1988",5.47968545216252,2.57798165137615
"34","talek","1989",6.07640994542147,3.53490566037736
"35","talek","1990",4.42874692874693,3.00431034482759
"36","talek","1991",3.38557993730408,2.40306462358428
"37","talek","1992",3.06782273603083,2.22984244670992
"38","talek","1993",3.71990915972748,2.59135744480977
"39","talek","1994",3.11608133086876,2.00505514705882
"40","talek","1995",2.54065227377124,1.84556895647614
"41","talek","1996",2.66673205178501,2.05340612390221
"42","talek","1997",2.44377596332904,1.99295549151457
"43","talek","1998",2.18647830474268,2.00558419243986
"44","talek","1999",3.13565556036348,2.1749487704918
"45","talek","2000",2.76479041916168,2.18998923573735
"46","talek","2001",2.52016376663255,2.147903372835
"47","talek","2002",2.22582019599489,1.93747094374709
"48","talek","2003",2.48499571306087,1.89270799871507
"49","talek","2004",2.69806451612903,2.44684579439252
"50","talek","2005",2.81390728476821,2.73811339944063
"51","talek","2006",2.79206260480715,2.71648745519713
"52","talek","2007",2.30339666090961,2.32323232323232
"53","talek","2008",3.02724224643755,2.55804268610099
"54","talek","2009",2.91941260744986,2.72358775334196
"55","talek","2010",3.24110218140069,2.44399821508255
"56","talek","2011",4.25195618153365,3.06669865642994
"57","talek","2012",3.95941061996108,2.72462764114998
"58","talek","2013",3.65529809945327,2.56893203883495
"59","talek","2014",4.55373256767843,3.02189781021898
"60","talek","2015",4.85007496251874,2.96281606346058
"61","talek","2016",4.01068090787717,2.80613893376414
