"id","last_updated","sample_id","eartag","name","prev_id","sex","age_class","status","first_seen","den_grad","disappeared","mom","birthdate","number_littermates","litrank","arrived_den","leave_den","fate","mortality_source","death_date","weaned","clan","park","misc_notes"
"jsha","09-may-16","","","joshua","","m","a","i","06-jul-15","","06-jul-15","","","","","","","a","","","","","tk","darted for tmm gnrh trial"
"jebe","08-sep-16","","","jembe","","m","c","r","11-jul-15","16-mar-16","05-may-16","bora","11-may-15","1","1","","","k","","","","talek","tk",""
"kilo","08-sep-16","","","kilometer","pepper","m","c","r","11-jul-15","03-mar-16","","buar","20-jun-15","1","2","","","a","","","","talek","tk",""
"madi","11-may-16","","","malindi","al458","m","a","i","05-apr-14","","05-apr-15","","","","","","","d","","","","talek","tk",""
"onix","23-jan-17","","","onix","precious","m","c","r","31-dec-15","18-aug-16","","mgta","30-sep-15","0","","","","a","","","","talek","tk",""
"nzth","04-nov-16","","","nazareth","al393","m","a","i","28-may-12","","10-aug-12","","","","","","","d","","","","talek","tk","imm"
"crvy","15-jun-16","","","curvy","","u","","","26-jun-11","","","","","","","","","a","","","","mara.river","tk",""
"mart","26-jul-16","","","martha","","f","a","r","01-aug-84","","22-aug-88","","","","","","","k","","","","talek","tk","original hyena from laurence, not changing anything"
"rmki","10-oct-17","","","rumaki","jumpy","f","c","r","02-jan-16","29-jun-16","13-sep-16","byte","22-nov-15","0","1","","","k","","","","talek","tk",""
"croc","11-aug-16","","","crocs","shaggy","u","c","r","04-jan-16","","","hex","19-nov-15","1","1","","","a","","","","talek","tk",""
"lotu","23-jan-17","","","lotus","goober","u","c","r","13-jan-16","","09-apr-16","chco","31-oct-15","0","1","","","k","","","","talek","tk",""
"pow","21-oct-16","","","portuguese man of war","","m","c","r","15-jan-16","18-jun-16","","amaz","06-dec-15","1","1","","","a","","","","talek","tk",""
"urc","23-jan-17","","","urchin","","m","c","r","15-jan-16","19-jun-16","","amaz","06-dec-15","1","2","","","a","","","","talek","tk",""
"snhc","23-jan-17","","","sweet n honey café","","u","c","r","09-feb-16","","13-mar-16","neon","22-dec-15","1","","","","k","","","","talek","tk",""
"eham","23-jan-17","","","e harmony","","u","c","r","20-mar-16","","20-mar-16","lust","04-feb-16","1","","","","k","","","","talek","tk",""
"bmbl","23-jan-17","","","bumble","","u","c","r","20-mar-16","","20-mar-16","lust","04-feb-16","1","","","","k","","","","talek","tk",""
"cici","14-jul-17","","","chi chi","","f","c","r","16-mar-16","07-oct-16","","alfe","16-dec-15","0","","","","a","","","","talek","tk",""
"kero","11-aug-16","","","kerio river","","u","c","r","12-mar-16","","","ted","12-jul-15","1","2","","","a","","","","talek","tk",""
"lewa","21-oct-16","","","malewa river","","m","c","r","12-mar-16","","","ted","12-jul-15","1","1","","","a","","","","talek","tk",""
"maro","14-jul-17","1314","","mario","","u","c","r","27-mar-16","23-oct-16","","cart","16-feb-16","1","1","","","a","","","","talek","tk",""
"sguy","02-aug-18","","","shy guy","","m","c","r","27-mar-16","23-oct-16","25-may-17","cart","16-feb-16","1","2","","","a","","","","talek","tk",""
"wand","31-aug-16","","","wanda","","f","a","f","28-dec-92","","","","","","","","","a","","","","fig.tree","tk","female #128"
"c124","31-aug-16","","","dark cub 124","","u","c","f","30-dec-92","","","","","","","","","a","","","","fig.tree","tk",""
"m130","31-aug-16","","","male 130","","m","a","f","30-dec-92","","","","","","","","","a","","","","fig.tree","tk",""
"m131","31-aug-16","","","male 131","","m","a","f","30-dec-92","","","","","","","","","a","","","","fig.tree","tk",""
"larr","31-aug-16","","","larry","","m","a","f","30-dec-92","","","","","","","","","a","","","","fig.tree","tk","male #100"
"ft40","31-aug-16","","","fig tree hyena 40","","u","a","f","02-jan-93","","","","","","","","","a","","","","fig.tree","tk",""
"f37","31-aug-16","","","female 37","poe?","f","a","f","02-jan-93","","","","","","","","","a","","","","fig.tree","tk",""
"roz","31-aug-16","","","roz","","f","a","f","03-jan-93","","","","","","","","","a","","","","fig.tree","tk","female #116"
"x036","27-jul-16","","","140:36","","u","s","i","16-oct-88","","16-oct-88","","","","","","","u","","","","talek","tk",""
"dot","31-aug-16","","","dotty","","f","a","f","03-jan-93","","","","","","","","","a","","","","fig.tree","tk","female #138"
"137","31-aug-16","","","fig tree hyena 137","","u","s","f","03-jan-93","","","","","","","","","a","","","","fig.tree","tk",""
"m110","31-aug-16","","","male 110","","m","a","f","03-jan-93","","","","","","","","","a","","","","fig.tree","tk",""
"ares","10-oct-17","","","aries","","f","c","r","06-apr-16","15-dec-16","","twst","16-mar-16","0","","","","k","","06-mar-17","","talek","tk",""
"cryp","02-aug-18","","","cryptic","","m","s","r","05-may-16","","02-jul-17","unk","30-jun-15","","","","","a","","","","talek","tk","kcm hyena; graduated on or before dfs"
"pitt","21-oct-16","","","pittsburgh penguins","","m","a","o","09-jun-16","","","","","","","","","a","","","","","tk","emarti east hyena, darted for gnrh challenge"
"bnda","02-aug-18","","","hastings kamuzu banda","stanley, starchild (scld)","","s","r","10-may-16","","","roos","17-apr-15","1","","","","a","","","","talek","tk","graduated on or before dfs. this sub was originally named stanley, then changed to scld, then we realized it was bnda all along."
"hoco","10-oct-17","","","holy cow","","m","s","r","25-jun-16","","","dk","26-jul-15","1","2","","","a","","","","talek","tk","graduated on or before dfs"
