"clan","year","clan.size","num.kills"
"happy.zebra",2009,26,6
"happy.zebra",2010,20,5
"happy.zebra",2011,21,3
"happy.zebra",2012,27,4
"happy.zebra",2013,29,7
"happy.zebra",2014,29,4
"happy.zebra",2015,40,6
"happy.zebra",2016,36,5
"happy.zebra",2017,37,6
"serena.n",2009,43,6
"serena.n",2010,36,11
"serena.n",2011,36,9
"serena.n",2012,39,6
"serena.n",2013,37,8
"serena.n",2014,46,15
"serena.n",2015,52,9
"serena.n",2016,55,16
"serena.n",2017,50,14
"serena.s",2009,38,5
"serena.s",2010,34,5
"serena.s",2011,41,12
"serena.s",2012,46,1
"serena.s",2013,44,14
"serena.s",2014,39,3
"serena.s",2015,42,6
"serena.s",2016,49,7
"serena.s",2017,49,9
"talek",1989,62,103
"talek",1990,63,101
"talek",1991,58,85
"talek",1992,49,88
"talek",1993,49,136
"talek",1994,60,107
"talek",1995,61,150
"talek",1996,64,218
"talek",1997,65,250
"talek",1998,62,139
"talek",1999,74,156
"talek",2000,51,104
"talek",2001,50,122
"talek",2002,52,90
"talek",2003,49,73
"talek",2004,43,108
"talek",2005,53,113
"talek",2006,55,56
"talek",2007,50,41
"talek",2008,49,58
"talek",2009,47,71
"talek",2010,60,58
"talek",2011,78,42
"talek",2012,106,38
"talek",2013,102,55
"talek",2014,93,94
"talek",2015,101,51
